claim_id	formal_status	theorem_id	lean_name	module	task	scope
CLAIM-S010	CONSTRUCTED_CONTROL	THM-S019	Task37.Deformation.tangentMetric_loopSolderTransport	RequestProject.Spine.Deformation.SolderTransport	T39	This control only; the transport uses the smoothness of CLAIM-S009. THM-S017 and THM-S018 are the definitions (constructions) the theorems are about; they are listed in supporting_construction_ids and are not proofs.
CLAIM-S010	CONSTRUCTED_CONTROL	THM-S020	Task37.Deformation.loopSolderSolutionSpace_correspondence	RequestProject.Spine.Deformation.SolderTransport	T39	This control only; the transport uses the smoothness of CLAIM-S009. THM-S017 and THM-S018 are the definitions (constructions) the theorems are about; they are listed in supporting_construction_ids and are not proofs.
CLAIM-S010	CONSTRUCTED_CONTROL	THM-S021	Task37.Deformation.loopSolderTransport_involutive	RequestProject.Spine.Deformation.SolderTransport	T39	This control only; the transport uses the smoothness of CLAIM-S009. THM-S017 and THM-S018 are the definitions (constructions) the theorems are about; they are listed in supporting_construction_ids and are not proofs.
CLAIM-S011	DOCUMENTED_ONLY	THM-S013	Task37.Deformation.native_transport_knob_smoketest_certificate	RequestProject.Spine.Deformation.SmokeTestCertificate	T38	An interpretation of the certified statements, scoped to the control.
CLAIM-S011	DOCUMENTED_ONLY	THM-C004	Closure.smoketest_certificate	RequestProject.Spine.Closure.IntermediateMilestone	T39	An interpretation of the certified statements, scoped to the control.
CLAIM-N001	NEGATIVE_CONTROL	THM-G007	SpinNative.weak_solder_not_regular	RequestProject.Spine.Solder.WeakInsufficiency	T35	One explicit model.
CLAIM-N002	NEGATIVE_CONTROL	THM-G007	SpinNative.weak_solder_not_regular	RequestProject.Spine.Solder.WeakInsufficiency	T35	Same model as CLAIM-N001.
CLAIM-N003	NEGATIVE_CONTROL	THM-G022	Task36.orientation_reversing_gluing_no_solder	RequestProject.Spine.Task36.OrientationReversing	T36	One explicit model.
CLAIM-N004	NEGATIVE_CONTROL	THM-G020	Task36.one_loop_has_kernel_sign_freedom	RequestProject.Spine.Task36.LoopSpinFreedom	T36	Abstract control over an arbitrary base with a two-patch cover.
CLAIM-N005	NEGATIVE_CONTROL	THM-G020	Task36.one_loop_has_kernel_sign_freedom	RequestProject.Spine.Task36.LoopSpinFreedom	T36	Fixed cover.
CLAIM-N005	NEGATIVE_CONTROL	THM-G021	Task36.two_loop_spin_choice_family	RequestProject.Spine.Task36.LoopSpinFreedom	T36	Fixed cover.
CLAIM-N006	NEGATIVE_CONTROL	THM-S001	Task37.Deformation.not_forall_regularClosureAdmissible	RequestProject.Spine.Deformation.ClosureAdmissibility	T37	Constructed families.
CLAIM-N006	NEGATIVE_CONTROL	THM-S002	Task37.Deformation.selective_family_not_admissible_of_ne	RequestProject.Spine.Deformation.ClosureAdmissibility	T37	Constructed families.
CLAIM-N007	NEGATIVE_CONTROL	THM-S010	Task37.Deformation.not_kernelGaugeEquiv_of_ne_zero	RequestProject.Spine.Deformation.CocycleGaugeOrbit	T38	This control only.
CLAIM-N007	NEGATIVE_CONTROL	THM-S014	Task37.Deformation.smoketest_negative_records	RequestProject.Spine.Deformation.SmokeTestCertificate	T38	This control only.
CLAIM-N008	NEGATIVE_CONTROL	THM-G024	Task36.spin_foam_labels_do_not_determine_solder	RequestProject.Spine.Task36.SpinFoamControl	T36	The project's own label structure.
CLAIM-N009	NEGATIVE_CONTROL	THM-G023	Task36.spin_does_not_imply_lorentz_moebius	RequestProject.Spine.Task36.SpinNotLorentz	T36	One explicit model.
CLAIM-N010	NEGATIVE_CONTROL	THM-G025	Task36.oneChart_positive_control	RequestProject.Spine.Task36.TrivialControl	T36	Trivial topology.
CLAIM-B001	INFRASTRUCTURE_BLOCKED	-	-	-	-	Regularity boundary of the whole Spin side.
CLAIM-B002	INFRASTRUCTURE_BLOCKED	-	-	-	-	Interpretation boundary of the reconvergence result.
CLAIM-B003	OPEN	-	-	-	-	The principal boundary of the present phase.
CLAIM-B004	OPEN	-	-	-	-	Interpretation boundary of the control geometry.
CLAIM-B005	OPEN	-	-	-	-	Interpretation boundary of the multiplicity results.
CLAIM-B006	OPEN	-	-	-	-	Interpretation boundary of CLAIM-G015.
CLAIM-B007	OPEN	-	-	-	-	Scope boundary of CLAIM-G009 to CLAIM-G015.
CLAIM-B008	OPEN	-	-	-	-	The outermost boundary of the project.
CLAIM-B009	OPEN	-	-	-	-	Research direction.
CLAIM-G023	PROVED	THM-C001	Closure.local_core_certificate	RequestProject.Spine.Closure.IntermediateMilestone	T39	Aggregation only; no new mathematics.
CLAIM-G023	PROVED	THM-C002	Closure.global_layer_certificate	RequestProject.Spine.Closure.IntermediateMilestone	T39	Aggregation only; no new mathematics.
CLAIM-G023	PROVED	THM-C003	Closure.fixed_cover_lift_freedom_certificate	RequestProject.Spine.Closure.IntermediateMilestone	T39	Aggregation only; no new mathematics.
CLAIM-G023	PROVED	THM-C004	Closure.smoketest_certificate	RequestProject.Spine.Closure.IntermediateMilestone	T39	Aggregation only; no new mathematics.
CLAIM-G023	PROVED	THM-C005	Closure.intermediate_milestone_certificate	RequestProject.Spine.Closure.IntermediateMilestone	T39	Aggregation only; no new mathematics.
CLAIM-S012	CONSTRUCTED_CONTROL	THM-S003	Task37.Deformation.controlA_interface_certificate	RequestProject.Spine.Deformation.SmokeTestCertificate	T38	This control only.
CLAIM-L011	PROVED	THM-L012	SpinCore.finrank_gB	RequestProject.Spine.E1.LieAlgebra	T10	An algebraic statement about the intrinsic Lorentz sector; no topology, no smooth structure, no Spin group.
CLAIM-L011	PROVED	THM-L013	SpinCore.gBLie_bracket	RequestProject.Spine.E1.LieAlgebra	T10	An algebraic statement about the intrinsic Lorentz sector; no topology, no smooth structure, no Spin group.
CLAIM-L011	PROVED	THM-L014	SpinCore.bivectorEquivSkew_wedge	RequestProject.Spine.E1.LieAlgebra	T10	An algebraic statement about the intrinsic Lorentz sector; no topology, no smooth structure, no Spin group.
CLAIM-L011	PROVED	THM-L015	SpinCore.gB_bracket_mem	RequestProject.Spine.E1.Bivector	T10	An algebraic statement about the intrinsic Lorentz sector; no topology, no smooth structure, no Spin group.
CLAIM-B010	OPEN	-	-	-	-	The first open edge of the next phase.
CLAIM-B011	OPEN	-	-	-	-	A future architectural requirement, not a current theorem.
